sme_id,business_name,revenue,profit_margin,debt_ratio,collateral_value,marketing_spend,employee_count,staff_count,age_of_business,sector,previous_funding_received,previous_funding_amount,default_history,loan_applications_count,funding_requested_amount,expected_roi,project_duration_months,business_stage,collateral_offered,business_registration_uploaded,tax_clearance_uploaded,financial_statements_uploaded,tax_registered,tax_paid_last_year,licenses_required,licenses_up_to_date,total_payroll,cost_per_hire,nssf_contribution_percent,nhif_contribution_percent,staff_turnover_rate,bank_balance,m_pesa_balance,pending_invoices,paid_invoices,late_payments,campaign_spend,clicks,impressions,conversions,target_segment,total_customers,active_customers,repeat_customers,channels_used,owner_age,owner_gender,education_level,employment_status,location,eligible_for_funding,default_risk,business_health_score,liquidity_ratio,cash_months,revenue_per_employee,payroll_to_revenue,invoice_paid_rate,staff_retention_rate,customer_active_rate,customer_repeat_rate,marketing_roi,conversion_rate,low_cash,high_debt,low_profit,late_payer,missing_docs,tax_noncompliant,license_expired,health_category,health_probability
1,SME_1,63049.92192176875,0.1027375207517932,0.1704759592552599,560.527308302662,1592.8381264130044,5,29,17,transport,1,486369.65441165015,0,7,877756.375504838,0.1834536323576019,20,growth,1,1,1,1,1,1,1,1,304667.446882669,27601.56626255714,0.0778702363959539,0.037796746250674,0.1778303455014703,72315.36126608643,31958.309597335963,6,26,44,26984.120162344127,1153,47735,79,low,4734,117,117,mobile,44,male,master,self-employed,Other,0,low,65.3,1.6538271211945885,19.845925454335063,12609.98438435375,4.832162159704101,0.8125,0.8221696544985297,0.024714828897338403,1.0,39.58338319271285,0.06851691240242845,0,0,0,1,0,0,0,Thriving,0.9420528181878629
2,SME_2,47135.9171540534,0.1398836930499137,0.2953194766591374,1157.0208518728796,23465.14981800035,10,8,11,services,0,0.0,0,0,994588.0261534704,0.1437170850639142,19,startup,1,1,1,0,0,1,3,0,108343.31672464048,34375.18080824238,0.054869550412083,0.022710095849606,0.1910938790487894,102629.56137913567,15578.082915734549,11,22,36,43354.84550108288,2219,33547,253,medium,4500,3146,2323,physical,31,male,none,self-employed,Other,1,medium,40.2,2.5078040575413962,30.093648690496757,4713.59171540534,2.298529937808235,0.6666666666666666,0.8089061209512106,0.6991111111111111,0.7383979656706929,2.0087626765500115,0.11401532221721496,0,0,0,1,1,1,1,Stable,0.8297126868648866
3,SME_3,68567.28912085996,0.0945306055300027,0.302702530806667,0.0,46231.14089212643,12,44,12,services,0,0.0,0,2,527644.3633101082,0.0343261545855496,13,growth,0,1,0,0,1,1,1,1,187776.1320649372,7744.505142785261,0.1180451960472785,0.0297357202026618,0.1196902503794388,158216.4648669161,31792.924385940405,2,4,2,21842.547201735077,4326,62706,416,high,3033,1772,1772,mobile,52,female,none,self-employed,Other,1,medium,52.7,2.7711375451629263,33.25365054195512,5713.940760071663,2.7385672450015353,0.6666666666666666,0.8803097496205612,0.584240026376525,1.0,1.483140753131134,0.09616273693943597,0,0,0,0,1,0,0,Thriving,1.0
4,SME_4,123677.62756244311,0.1284426929252671,0.3708945518765108,1310.2932837833532,19879.59346553233,82,34,3,tech,0,0.0,0,3,111396.9539507504,0.2633667941248558,17,growth,1,1,1,1,1,1,1,1,350711.0554974748,20887.707915511804,0.0546363386068285,0.0364934573807993,0.0900483689515319,187620.25773476236,23155.554143068643,1,48,24,35207.90034935164,594,71479,255,medium,1491,1491,1491,physical,27,female,none,self-employed,Other,1,medium,47.4,1.7042355681621821,20.450826817946187,1508.2637507615013,2.835687119890828,0.9795918367346939,0.9099516310484681,1.0,1.0,6.221335852610773,0.4292929292929293,0,0,0,1,0,0,0,Thriving,1.0
5,SME_5,45495.40906653323,0.0174469733132349,0.094971245507876,0.0,31246.12348942282,58,17,6,beauty,0,0.0,0,5,183193.3856722688,0.1106767216473308,10,startup,0,1,0,1,1,1,3,1,341071.1388093405,34173.610777661685,0.0641323597450054,0.030358178860448,0.1854884100815126,109951.74223076824,47224.637155715776,14,27,18,45186.89408348427,4105,5963,65,medium,4585,1346,1346,online,22,female,highschool,self-employed,Nairobi,0,low,47.6,3.4547745060743753,41.4572940728925,784.4036045954006,7.496825411780614,0.6585365853658537,0.8145115899184874,0.2935659760087241,1.0,1.4560337086913826,0.015834348355663823,0,0,1,1,1,0,0,Thriving,0.9648769937914996
6,SME_6,45495.67669892571,0.1649305595161057,0.3888850910770995,10464.373108943924,38990.933781157175,21,41,11,agriculture,1,169982.22055499328,0,0,337145.8777032237,0.3462476216394175,31,growth,1,1,1,1,1,1,1,0,283504.15768333065,41723.94534520464,0.0799622145505115,0.0284279407936953,0.0846298856552961,113282.88825633134,18289.40361942537,19,36,36,26708.450042151293,2131,79084,381,medium,572,572,572,physical,58,female,highschool,self-employed,Eldoret,1,low,68.0,2.8919735109438105,34.70368213132573,2166.4607951869384,6.231452706143066,0.6545454545454545,0.915370114344704,1.0,1.0,1.166827061754341,0.17878930079774755,0,0,0,1,0,0,1,Thriving,0.964879456457623
7,SME_7,129137.9402908494,0.1500843832753557,0.0,0.0,39196.26395709438,21,4,13,tech,1,339752.44482478965,0,7,121481.88329201537,0.1631067409025969,19,growth,0,1,1,1,1,0,4,0,158215.0753994541,48971.20530387059,0.1153384080772666,0.0206033403051277,0.1057685619062896,23693.91910216906,29639.25642852996,3,29,49,4406.220137461697,1925,77583,362,low,3082,771,771,online,57,male,phd,self-employed,Mombasa,1,low,49.0,0.41299385301159375,4.955926236139125,6149.425728135686,1.225163379895297,0.90625,0.8942314380937104,0.2501622323166775,1.0,3.2946492153489007,0.18805194805194805,0,0,0,1,0,1,1,Stable,0.8659895365035012
8,SME_8,73575.97295636221,0.0928037958252266,0.2055173171454284,276.32050440804227,25964.00411976357,65,26,11,transport,1,270095.8847643039,0,1,819034.9896150144,0.1483481066124396,28,growth,1,0,1,1,0,1,4,1,171760.86795956703,10473.3703820336,0.062511601424852,0.0280781049545209,0.1878902776568437,101391.9974841286,42621.66522961163,19,44,37,2712.45747564724,4474,52359,313,medium,1369,1369,915,mobile,24,female,bachelor,self-employed,Nairobi,0,low,50.4,1.9573463581535577,23.488156297842693,1131.9380454824955,2.334469542950361,0.6984126984126984,0.8121097223431563,1.0,0.6683710737764792,2.8337683439341634,0.0699597675458203,0,0,0,1,1,1,0,Thriving,0.8390196524588415
9,SME_9,42077.31640768933,0.1961471967902683,0.2267589236322683,16483.279290505794,42897.597270116814,3,5,8,manufacturing,1,198857.8472624557,0,4,310930.4940121131,0.1528508699521281,7,growth,1,1,1,0,1,1,1,1,267912.3281709985,33458.10753305374,0.0779844943649825,0.0315439511770447,0.1743153854033358,138861.0068632505,47983.28440764979,18,28,40,39885.21078065788,2549,26281,409,high,4798,289,289,physical,58,female,none,self-employed,Other,1,low,52.3,4.440499233852182,53.28599080622618,14025.772135896443,6.367143892333386,0.6086956521739131,0.8256846145966642,0.0602334305960817,1.0,0.9808781630061387,0.16045508042369558,0,0,0,1,1,0,0,Thriving,0.9295788421097572
10,SME_10,64638.19920426138,0.215629909633859,0.3949990239106857,849.2595053150269,19568.904668187348,69,31,10,beauty,0,0.0,0,5,976368.464259468,0.2150190837155192,6,startup,1,1,0,0,1,1,2,0,227523.31204450072,45175.5357947232,0.1192521940742302,0.0287076113049574,0.1720184790078087,41865.12616059127,40159.23423352394,10,13,48,1635.1567241058128,1894,93701,98,medium,713,713,713,online,51,male,phd,employed,Kisumu,1,medium,51.2,1.2689765711899292,15.22771885427915,936.7854957139331,3.519951280287228,0.5652173913043478,0.8279815209921912,1.0,1.0,3.3031076751751973,0.05174234424498416,0,0,0,1,1,0,1,Stable,0.8091321192498041
